PDB_ID,Label,So_Vong_H1,Max_Death,Max_Persistence,Mean_Persistence
1LT1,alpha_helix,242,0.892,0.269,0.037
3MGN,alpha_helix,125,1.287,0.297,0.066
3HE4,alpha_helix,112,0.942,0.284,0.063
3MIW,alpha_helix,187,1.001,0.389,0.069
3HE5,alpha_helix,173,1.265,0.306,0.047
2YF2,alpha_helix,245,1.593,1.165,0.041
1OVV,alpha_helix,132,1.264,0.254,0.067
1JM0,alpha_helix,131,1.293,0.243,0.067
3LT6,alpha_helix,229,1.176,0.299,0.041
3H7X,alpha_helix,115,1.096,0.671,0.084
3LT7,alpha_helix,225,0.785,0.276,0.041
2XDJ,alpha_helix,303,1.29,0.434,0.047
2ZFC,alpha_helix,70,1.212,0.249,0.075
1OVR,alpha_helix,83,1.629,0.211,0.038
1FE6,alpha_helix,153,1.252,0.37,0.065
3IF4,alpha_helix,167,0.881,0.517,0.078
1EC5,alpha_helix,90,1.031,0.242,0.043
2GUV,alpha_helix,126,0.95,0.521,0.076
2Q1K,alpha_helix,101,1.046,0.291,0.079
2WZ7,alpha_helix,304,1.301,0.414,0.046
7P93,beta_sheet,138,0.951,0.541,0.098
3LKF,beta_sheet,143,0.986,0.456,0.093
6U2S,beta_sheet,150,0.891,0.465,0.088
6U33,beta_sheet,159,0.943,0.479,0.079
7P8S,beta_sheet,136,0.859,0.39,0.086
6U3F,beta_sheet,136,0.935,0.447,0.096
1PVL,beta_sheet,146,0.889,0.438,0.093
4Q7G,beta_sheet,150,0.955,0.43,0.084
4I0N,beta_sheet,116,0.999,0.523,0.088
1QWY,beta_sheet,136,0.974,0.489,0.11
5AZO,beta_sheet,204,1.811,0.295,0.054
2GU1,beta_sheet,200,0.956,0.496,0.073
2B13,beta_sheet,138,1.112,0.462,0.095
2B44,beta_sheet,141,1.087,0.401,0.107
2B0P,beta_sheet,138,1.252,0.442,0.1
3MSW,beta_sheet,62,2.416,0.235,0.068
4DIX,beta_sheet,249,0.727,0.353,0.07
1H09,beta_sheet,204,0.983,0.57,0.069
7P8X,beta_sheet,129,0.878,0.398,0.103
1OBA,beta_sheet,201,0.958,0.551,0.07
6E2A,mixed,223,0.945,0.483,0.077
7L6P,mixed,418,0.671,0.316,0.048
5GZ2,mixed,243,0.834,0.404,0.082
4XAP,mixed,190,0.98,0.579,0.079
5C7H,mixed,190,0.97,0.568,0.082
5GVH,mixed,204,0.915,0.503,0.078
5GYZ,mixed,253,0.818,0.391,0.08
2GJN,mixed,208,1.061,0.434,0.079
2GJL,mixed,251,1.071,0.457,0.068
6OMZ,mixed,211,1.366,0.596,0.069
6CIA,mixed,143,0.964,0.462,0.097
6BKA,mixed,268,0.895,0.554,0.074
4PMJ,mixed,173,0.969,0.519,0.083
5V1T,mixed,264,0.947,0.461,0.076
9EJ8,mixed,247,0.979,0.488,0.079
3BW2,mixed,232,0.958,0.539,0.083
5SYD,mixed,120,0.984,0.451,0.111
4PUW,mixed,202,0.921,0.475,0.081
3BW3,mixed,224,0.946,0.54,0.087
3HZS,mixed,105,1.19,0.56,0.09
